60090,Gomphi,n,n-p---mn2-,Gomph,,,['gɔm.pʰɪ],,0
60307,60307,Hypsipyle,n,n-s---fn1-,Hypsipyl,,,[hyp.'sɪ.py.leː],,0
60308,60308,Hyrcani,n,n-p---mn2-,Hyrcan,,,['hyr.ka.n̪ɪ],,0
60309,60309,Hyrie,n,n-s---fn1-,Hyri,,,['hy.rɪ̣.jɛ],,0
60310,60310,Hyrieus,n,n-s---mn2-,Hyrie,,,['hy.rɪews],,0
60311,60311,Hystaspes,n,n-p---mn3-,Hystasp,,,[hys.'t̪as.pɛs],,0
60312,60312,Ialysus,n,n-s---mn2-,Ialys,,,['ja.ly.sʊs],,0
60313,60313,Iamblichus,n,n-s---mn2-,Iamblich,,,['jam.blɪ.kʰʊs],,0
60314,60314,Iamidae,n,n-p---fn1-,Iamid,,,['ja.mɪ.d̪aj],,0
60315,60315,Iamphoryna,n,n-s---fn1-,Iamphoryn,,,[jam.'pʰɔ.ry.n̪a],,0
60316,60316,Ianthe,n,n-s---fn1-,Ianth,,,['jan̪.t̪ʰɛ],,0
60247,60247,Hirpi,n,n-p---mn2-,Hirp,,,['hɪr.pɪ],,0
60248,60248,Hirpini,n,n-p---mn2-,Hirpin,,,['hɪr.pɪ.n̪ɪ],,0
60321,60321,Iarba,n,n-s---mn1-,Iarb,,,['jar.ba],,0
60323,60323,Iasius,n,n-s---mn2-,Iasi,,,['ja.sɪ̣.jʊs],,0
60324,60324,Iason,n,n-s---nn3-,Ias,,,['ja.sɔn̪],,0
60325,60325,Iassus,n,n-s---mn2-,Iass,,,['jas.sʊs],,0
60326,60326,Iazyges,n,n-p---mn3-,Iazyg,,,['jaz.zy.gɛs],,0
60327,60327,Ibycus,n,n-s---mn2-,Ibyc,,,['ɪ.by.kʊs],,0
60329,60329,Icarus,n,n-s---mn2-,Icar,,,['ɪ.ka.rʊs],,0
60330,60330,Iccius,n,n-s---mn2-,Icci,,,['ɪk.kɪ̣.jʊs],,0
60331,60331,Icelos,n,n-s---mn2-,Icel,,,['ɪ.kɛ.lɔs],,0
60333,60333,Ichnusa,n,n-s---fn1-,Ichnus,,,['ɪkʰ.n̪ʊ.sa],,0
60334,60334,Iconium,n,n-s---nn2-,Iconi,,,[ɪ.'kɔ.n̪ɪ̣.jũː],,0
60335,60335,Ida,n,n-s---fn1-,Id,,,['ɪ.d̪a],,0
60336,60336,Idalium,n,n-s---nn2-,Idali,,,[ɪ.'d̪a.lɪ̣.jũː],,0
60337,60337,Idas,n,n-s---mn3-,Idas,,,['ɪ.d̪as],,0
60338,60338,Idmon,n,n-s---nn3-,Idm,,,['ɪ.d̪mɔn̪],,0
60339,60339,Idumaea,n,n-s---fn1-,Idumae,,,[ɪ.d̪ʊ.'maj.ja],,0
60340,60340,Idyia,n,n-s---fn1-,Idyi,,,[ɪ.'d̪yj.ja],,0
60342,60342,Iguuium,n,n-s---nn2-,Iguui,,,['ɪ.gʷʊ.jũː],,0
60343,60343,Ilerda,n,n-s---fn1-,Ilerd,,,[ɪ.'lɛr.d̪a],,0
60344,60344,Ilergauonenses,n,n-p---mn3-,Ilergauonens,,,[ɪ.lɛr.ga.wɔ.'n̪eːn̪.sɛs],,0
60345,60345,Ilergetes,n,n-p---mn3-,Ilerget,,,[ɪ.'lɛr.gɛ.t̪ɛs],,0
60346,60346,Ilia,n,n-s---fn1-,Ili,,,['ɪ.lɪ̣.ja],,0
60347,60347,Ilienses,n,n-p---mn3-,Iliens,,,[ɪ.lɪ̣.'jeːn̪.sɛs],,0
60348,60348,Ilioneus,n,n-s---mn2-,Ilione,,,['ɪ.lɪ̣.jɔn̪ews],,0
60349,60349,Ilipa,n,n-s---fn1-,Ilip,,,['ɪ.lɪ.pa],,0
60350,60350,Ilium,n,n-s---nn3-,Ilium,,,['iː.lɪ̣.jũː],,0
60351,60351,Illyrii,n,n-p---mn3-,Illyri,,,[ɪɫ.'ly.rɪ̣.jɪ],,0
60353,60353,Iluates,n,n-p---mn3-,Iluat,,,[ɪ.'lʊ.ja.t̪ɛs],,0
60352,60352,Iluro,n,n-s---mn3-,Iluro,,,['ɪ.lʊ.rɔ],,0
60355,60355,Imaus,n,n-s---mn2-,Ima,,,['ɪ.maws],,0
60356,60356,Imbros,n,n-s---mn2-,Imbr,,,['ɪm.brɔs],,0
60357,60357,Inachus,n,n-s---mn2-,Inach,,,['ɪ_.n̪a.kʰʊs],,0
60359,60359,Inarime,a,aps---fn1-,Inarime Inarime Inarime,,,[ɪ.'n̪a.rɪ.mɛ],,0
60360,60360,Indicus,n,n-s---mn2-,Indic,,,['ɪn̪.d̪ɪ.kʊs],,0
60361,60361,Indus,n,n-s---mn2-,Ind,,,['ɪn̪.d̪ʊs],,0
24114,i1299,indiscretus,a,aps---mn1-,indiscret indiscret indiscret,,,[ɪn̪.'d̪ɪs.krɛ.t̪ʊs],indiscretus,1
60362,60362,Industria,n,n-s---fn1-,Industri,,,[ɪn̪.'d̪ʊs.t̪rɪ̣.ja],,0
60363,60363,Ingauni,n,n-p---mn2-,Ingaun,,,[ɪŋ.'gaw.n̪ɪ],,0
60364,60364,Ingyaeones,n,n-p---mn3-,Ingyaeon,,,[ɪŋ.gy.'jaj.jɔ.n̪ɛs],,0
60366,60366,Intercatia,n,n-s---fn1-,Intercati,,,[ɪn̪.t̪ɛr.'ka.t̪ɪ̣.ja],,0
60367,60367,Io,n,n-s---fn3-,Io,,,['joː],,0
60368,60368,Iocasta,n,n-s---fn1-,Iocast,,,[jɔ.'kas.t̪a],,0
60369,60369,Iol,n,n-s---mn3-,Iol,,,['jɔɫ],,0
60370,60370,Iolaus,n,n-s---mn2-,Iola,,,['jɔ.laws],,0
60371,60371,Iolcos,n,n-s---mn2-,Iolc,,,['jɔɫ.kɔs],,0
60372,60372,Iole,n,n-s---fn1-,Iol,,,['jɔ.lɛ],,0
60373,i2774,Ion,n,n-s---mn3-,Ion,,,['jɔn̪],,1
60375,60375,Ionius,a,aps---mn1-,Ioni Ioni Ioni,,,['jɔ.n̪ɪ̣.jʊs],,0
60376,60376,Iphias,n,n-s---fn3-,Iphias,,,['ɪ.pʰɪ̣.jas],,0
60377,60377,Iphiclus,n,n-s---mn2-,Iphicl,,,['ɪ.pʰɪ.klʊs],,0
60379,60379,Iphinous,n,n-s---mn2-,Iphino,,,[ɪ.'pʰɪ.n̪ɔ.jʊs],,0
60380,60380,Iphis,n,n-s---fn3-,Iph,,,['ɪ.pʰɪs],,0
60381,60381,Iphitus,n,n-s---mn2-,Iphit,,,['ɪ.pʰɪ.t̪ʊs],,0
60382,60382,Iresiae,n,n-p---fn1-,Iresi,,,[ɪ.'rɛ.sɪ̣.jaj],,0
60383,60383,Iriates,n,n-p---mn3-,Iriat,,,[ɪ.'rɪ̣.ja.t̪ɛs],,0
60384,60384,Irine,n,n-s---fn1-,Irin,,,['ɪ.rɪ.n̪ɛ],,0
60385,60385,Iritis,n,n-s---fn3-,Irit,,,['ɪ.rɪ.t̪ɪs],,0
60386,60386,Irus,n,n-s---mn2-,Ir,,,['ɪ.rʊs],,0
60387,60387,Isacia,n,n-s---fn1-,Isaci,,,[ɪ.'sa.kɪ̣.ja],,0
60388,60388,Isaeus,n,n-s---mn2-,Isae,,,['ɪsews],,0
60389,60389,Isara,n,n-s---fn1-,Isar,,,['ɪ.sa.ra],,0
60319,60319,Iapydes,n,n-s---mn3-,Iapyd,,,['ja.py.d̪ɛs],,0
60320,60320,Iapyx,n,n-s---mn3-,Iapyx,,,['ja.pyks],,0
60423,60423,Ioannis,n,n-s---fn3-,Ioann,,,[jɔ.'jan̪.n̪ɪs],,0
60424,60424,Ioppe,a,aps---fn1-,Ioppe Ioppe Ioppe,,,['jɔp.pɛ],,0
