2,cibicida,n,n-s---mn1-,cibicid,,,[kɪ.bɪˈkiː.da],cibicida,0
41226,41226,exudo,v,v1spia--1-,exud exudau exudat,,,['ɛk.sʊ.d̪ɔ],exudo,0
41168,41168,fixtura,n,n-s---fn1-,fixtur,,,['fɪks.t̪ʊ.ra],fixtura,0
41222,41222,grapheum,n,n-s---nn2-,graphe,,,['grapʰewm],grapheum,0
41201,41201,incantamen,n,n-s---nn3-,incantamin,,,[ɪŋ.'kan̪.t̪a.mɛn̪],incantamen,0
41189,a1695,ammentum,n,n-s---nn2-,amment,,,['a.mmɛ.n̪t̪ũː],ammentum,0
41236,41236,inpulsio,n,n-s---fn3-,inpulsion,,,[ɪn̪.'pʊɫ.sɪ̣.jɔ],inpulsio,0
41183,41183,inrumator,n,n-s---mn3-,inrumator,,,[ɪ.'n̪rʊ.ma.t̪ɔr],inrumator,0
41220,41220,minuta,n,n-s---fn1-,minut,,,['mɪ.n̪ʊ.t̪a],minuta,0
41193,41193,obstitrix,n,n-s---fn3-,obstitric,,,['ɔps.t̪ɪ.t̪rɪks],obstitrix,0
41199,41199,organizatio,n,n-s---fn3-,organization,,,[ɔr.ga.n̪ɪz.'za.t̪ɪ̣.jɔ],organizatio,0
41172,41172,particularisticus,a,aps---mn1-,particularistic particularistic particularistic,,,[par.t̪ɪ.kʊ.la.'rɪs.t̪ɪ.kʊs],particularisticus,0
41171,41171,rhytium,n,n-s---nn2-,rhyti,,,[ˈrʏ.ti.ũ],rhytium,0
41225,41225,scapularium,n,n-s---nn2-,scapulari,,,[ska.pʊ.'la.rɪ̣.jũː],scapularium,0
41186,a3443,audito,v,v1spia--1-,audit auditau auditat,,,['aw.d̪ɪ.t̪ɔ],audito,0
41170,b0018,bacchatio,n,n-s---fn3-,bacchation,,,[bak.'kʰa.t̪ɪ̣.jɔ],bacchatio,0
41179,41179,semiophorum,n,n-s---nn2-,semiophor,,,[sɛ.mɪ̣.'jɔ.pʰɔ.rũː],semiophorum,0
41206,b9666,bubulcarius,n,n-s---mn2-,bubulcari,,,[bʊ.bʊɫ.'ka.rɪ̣.jʊs],bubulcarius,0
41184,c0025,cachecticus,a,aps---mn1-,cachectic cachectic cachectic,,,[kaˈkʰɛk.tɪ.kʊs],cachecticus,0
41181,41181,uapulus,a,aps---mn1-,uapul uapul uapul,,,['wa.pʊ.lʊs],uapulus,0
41175,c0150,caia,n,n-s---fn1-,cai,,,/ˈkaj.ja/,caia,0
41219,41219,aliquis,a,aps---an3-,ali ali ali,,,[ˈa.lɪ.kᶣɪs],aliquis,0
41203,41203,accretus,a,aps---mn1-,accret accret accret,,,[akˈkreː.tʊs],accretus,0
41212,c0441,cantabundus,a,aps---mn1-,cant cant cant,,,[kan.taːˈbʊn.dʊs],cantabundus,0
41185,c0594,caracalla,n,n-s---fn1-,caracall,,,[ka.ra.'kaɫ.la],caracalla,0
41216,c0811,catadromarius,n,n-s---mn2-,catadromari,,,[ka.t̪a.d̪rɔ.'ma.rɪ̣.jʊs],catadromarius,0
41207,c1955,cisorium,n,n-s---nn2-,cisori,,,[kɪ.'sɔ.rɪ̣.jũː],cisorium,0
41230,c0283,coalo,v,v1spia--3-,coal coalu coalt,,,[ˈkɔ.a.ɫoː],coalo,0
41214,c3904,conuiciolum,n,n-s---nn2-,conuiciol,,,[kɔ.n̪uj.'kɪ̣.jɔ.ɫũː],conuiciolum,0
41237,d1410,diffugium,n,n-s---nn2-,diffugi,,,[d̪ɪf.'fʊ.gɪ̣.jũː],diffugium,0
41231,h0099,hamula,n,n-s---fn1-,hamul,,,['ha.mʊ.la],hamula,0
41233,h0795,hypolydius,a,aps---mn1-,hypolydi hypolydi hypolydi,,,[hy.pɔ.'ly.d̪ɪ̣.jʊs],hypolydius,0
41221,l0502,lacto,v,v1spia--1-,lact lactau lactat,,,['lak.t̪ɔ],lacto,0
41178,o0277,obstrepo,v,v1spia--3-,obstrep obstrepu obstrepit,,,[ˈɔp.strɛ.poː],obstrepo,0
41232,p4223,prouiuo,v,v1spia--3-,prouiu prouix prouict,,,[prɔ.'jʊj.jʊ.jɔ],prouiuo,0
41238,u0140,uastatio,n,n-s---fn3-,uastation,,,[was.'t̪a.t̪ɪ̣.jɔ],uastatio,0
41191,u0867,uitiosus,a,aps---mn1-,uitios uitios uitios,,,[wɪ.tɪˈoː.sʊs],uitiosus,0
41235,u9989,uocatus,n,n-s---mn4-,uocat,,,['wɔ.ka.t̪ʊs],uocatus,0
39882,d0484,deiero,v,v1spia--1-,d ded dat,,27870,[ˈdeː.jɛ.roː],deiero,0
41271,41271,adrepo,v,v1spia--3-,adrep adreps adrept,,,/aˈdreː.poː/,adrepo,0
39826,r0929,ruscum,n,n-s---nn2-,rusc,,27869,[ˈrʊs.kũ],ruscum,0
41250,41250,aquamanus,n,n-s---mn2-,aquaman,,,[a.'kʷa.ma.n̪ʊs],aquamanus,0
41301,41301,aquate,r,rp--------,aquatius aquatissime,,,['a.kʷa.t̪ɛ],aquate,0
41251,41251,balistarius,n,n-s---mn2-,balistari,,,/ba.lisˈtaː.ri.us/,balistarius,0
41255,41255,birrum,n,n-s---nn2-,birr,,,['bɪr.rũː],birrum,0
41295,41295,calciarium,n,n-s---nn2-,calciari,,,[kaɫ.kɪ̣.'ja.rɪ̣.jũː],calciarium,0
41304,41304,cauletum,n,n-s---nn2-,caulet,,,['kaw.lɛ.t̪ũː],cauletum,0
41258,41258,chrysoprasus,n,n-s---mn2-,chrysopras,,,[kʰry.'sɔ.pra.sʊs],chrysoprasus,0
41264,41264,congenuclatus,a,aps---mn1-,congenuclat congenuclat congenuclat,,,[kɔŋ.gɛ.'n̪ʊ.kla.t̪ʊs],congenuclatus,0
41306,41306,conpotrix,n,n-s---fn3-,conpotric,,,['kɔn̪.pɔ.t̪rɪks],conpotrix,0
41286,41286,conuenienter,r,rp--------,conuenien,,,[kɔ.n̪ʊ.jɛ.n̪ɪ̣.'jɛn̪.t̪ɛr],conuenienter,0
41298,41298,coracicum,n,n-s---nn2-,coracic,,,[kɔ.'ra.kɪ.kũː],coracicum,0
41243,41243,cuscussum,n,n-s---nn2-,cuscuss,,,[kʊs.'kʊs.sũː],cuscussum,0
41290,41290,derectio,n,n-s---fn3-,derection,,,[d̪ɛ.'rɛk.t̪ɪ̣.jɔ],derectio,0
41246,41246,deuexa,n,n-s---fn1-,deuex,,,['d̪ewɛk.sa],deuexa,0
41245,41245,foetidus,n,n-s---mn2-,foet,,,[ˈfoe̯.tɪ.dʊs],foetidus,0
41273,41273,formonsulus,a,aps---mn1-,formonsul formonsul formonsul,,,['fɔrmɔːn̪.sʊ.lʊs],formonsulus,0
41266,41266,lingula,n,n-s---fn1-,lingul,,,[ˈlɪŋ.ɡʊ.ɫa],lingula,0
41285,41285,materialisticus,a,aps---mn1-,materialistic materialistic materialistic,,,[ma.t̪ɛ.rɪ̣.ja.'lɪs.t̪ɪ.kʊs],materialisticus,0
41262,41262,neclectus,a,aps---mn1-,neclect neclect neclect,,,['n̪ɛ.klɛ.kt̪ʊs],neclectus,0
41260,41260,nunnullus,n,n-s---mn2-,nunnull,,,[n̪ʊn̪.'n̪ʊɫ.lʊs],nunnullus,0
41257,41257,onerarius,n,n-s---mn2-,I,,,[ɔ.nɛˈraː.ri.ʊs],onerarius,0
41256,41256,praelonguus,a,aps---mn1-,praelongu praelongu praelongu,,,[praj.'lɔŋ.gʷʊs],praelonguus,0
41283,41283,properantim,r,rp--------,,,,['prɔ.pɛ.ran̪t̪ĩː],properantim,0
41303,41303,technocratia,n,n-s---fn1-,technocrati,,,[t̪ɛkʰ.n̪ɔ.'kra.t̪ɪ̣.ja],technocratia,0
41259,a2621,aquola,n,n-s---fn1-,aquol,,,['a.kʷɔ.la],aquola,0
41254,a3636,auxiliabundus,a,aps---mn1-,auxiliabund auxiliabund auxiliabund,,,[au̯k.sɪ.li.aːˈbʊn.dʊs],auxiliabundus,0
41276,b0157,basilicus,n,n-s---mn2-,basilic,,,[ba.'sɪ.lɪ.kʊs],basilicus,0
41310,41310,adpango,v,v1spia--3-,adpang adpeg adpact,,,[ad̪.'paŋ.gɔ],adpango,0
41263,b0342,biennium,n,n-s---nn2-,bienni,,,[bɪ̣.'jɛn̪.n̪ɪ̣.jũː],biennium,0
41240,c0315,camelinus,a,aps---mn1-,camelin camelin camelin,,,[ka.'mɛ.lɪ.n̪ʊs],camelinus,0
41249,c0901,catinulus,n,n-s---mn2-,catinul,,,[ka.'t̪ɪ.n̪ʊ.lʊs],catinulus,0
41274,c1326,chalazius,a,aps---mn1-,chalazi chalazi chalazi,,,[kʰa.'laz.zɪ̣.jʊs],chalazius,0
41247,c1843,circumrasio,n,n-s---fn3-,circumrasion,,,[kɪr.kʊmˈraː.si.oː],circumrasio,0
41294,c3236,confictio,n,n-s---fn3-,confiction,,,['kɔːn̪fɪk.t̪ɪ̣.jɔ],confictio,0
41296,c4073,coronarius,n,n-s---mn2-,coronari,,,[kɔ.roːˈnaː.ri.ʊs],coronarius,0
41297,d0156,decemprimus,n,n-s---mn2-,decemprim,,,[d̪ɛ.'kɛm.prɪ.mʊs],decemprimus,0
41270,d0262,deculpatus,a,aps---mn1-,deculpat deculpat deculpat,,,[d̪ɛ.'kʊɫ.pa.t̪ʊs],deculpatus,0
41281,d0500,deiungo,v,v1spia--3-,d ded dat,,,[deːˈjʊŋ.ɡoː],deiungo,0
41275,d0674,denariarius,a,aps---mn1-,denariari denariari denariari,,,[d̪ɛ.n̪a.rɪ̣.'ja.rɪ̣.jʊs],denariarius,0
41261,e1579,expatro,v,v1spia--1-,expatr expatrau expatrat,,,['ɛks.pa.t̪rɔ],expatro,0
41272,i0022,iaculus,n,n-s---mn2-,,,,[ˈja.kʊ.ɫʊs],iaculus,0
41241,i0154,ignominia,n,n-s---fn1-,ignomini,,,[ɪŋ.noːˈmɪ.ni.a],ignominia,0
