id,uri,lemma,pos,morpho,principal_parts,prosody,validated
23529,f1109,fulgeo,v,v1spia--2-,fulg fuls -,fulgeo,1
23530,f1109,fulgesco,v,v1spia--3-,fulgesc - -,fulgesco,1
23531,f1113,fulgor,n,n-s---mn3-,fulgor,fulgor,1
23532,f1114,fulgur,n,n-s---nn3-,fulgur,fulgur,1
23534,f1130,fulmen,n,n-s---nn3-,fulmin,fulmen,1
23535,f8105,fulmentum,n,n-s---nn2-,fulment,fulmentum,1
23464,f0905,fossio,n,n-s---fn3-,fossion,fossio,1
23483,f9215,fremitus,n,n-s---mn4-,fremit,fremitus,1
23465,f0912,fouea,n,n-s---fn1-,foue,fouea,1
23475,f0933,frango,v,v1spia--3-,frang freg fract,frango,1
120107,120107,ozina,n,n-s---fn1-,ozin,ozina,0
23539,f1157,fumus,n,n-s---mn2-,fum,fumus,1
23541,f1162,funda,n,n-s---fn1-,fund,funda,1
23542,f1165,fundamentum,n,n-s---nn2-,fundament,fundamentum,1
23543,f1167,fundatio,n,n-s---fn3-,fundation,fundatio,1
23544,f1172,fundibulum,n,n-s---nn2-,fundibul,fundibulum,1
23545,f1175,funditus,r,rp--------,fund,funditus,1
23547,f1179,fundus,n,n-s---mn2-,fund,fundus,1
23550,f8187,fungus,n,n-s---mn2-,fung,fungus,1
23551,f8188,funiculus,n,n-s---mn2-,funicul,funiculus,1
23552,f1189,funis,n,n-s---fn3i,fun,funis,1
23553,f1191,funus,n,n-s---nn3-,funer,funus,1
23554,f1192,fur,n,n-s---cn3-,fur,fur,1
23556,f1201,furcifer,n,n-s---mn2r,furcifer,furcifer,1
23557,f1207,furfur,n,n-s---mn3-,furfur,furfur,1
23558,f1215,furia,n,n-s---fn1-,furi,furia,1
23560,f1227,furnus,n,n-s---mn2-,furn,furnus,1
23561,f1228,furo,v,v1spia--3-,fur - -,furo,1
23562,f1231,furor,n,n-s---mn3-,furor,furor,1
23563,f1233,furtim,r,rp--------,,furtim,1
23564,f1235,furtum,n,n-s---nn2-,furt,furtum,1
23566,f1242,fuscina,n,n-s---fn1-,fuscin,fuscina,1
23567,f1243,fuscinula,n,n-s---fn1-,fuscinul,fuscinula,1
23571,g0002,gabalus,n,n-s---mn2-,gabal,gabalus,1
23572,g0027,galea,n,n-s---fn1-,gale,galea,1
23573,g0041,galericulum,n,n-s---nn2-,galericul,galericulum,1
23576,g0053,gallicinium,n,n-s---nn2-,gallicini,gallicinium,1
23578,g0057,gallina,n,n-s---fn1-,gallin,gallina,1
23579,g0229,gallus,n,n-s---mn2-,gall,gallus,1
102720,a2269,antistrephon,n,n-s---mn3g,antistrephont,antistrephon,0
23580,g0071,ganeo,n,n-s---mn3-,ganeon,ganeo,1
23581,g0077,gannio,v,v1spia--4-,gann ganniu gannit,gannio,1
23582,g2280,gannitus,n,n-s---mn4-,gannit,gannitus,1
23537,f1154,fumigo,v,v1spia--1-,fumig fumigau fumigat,fumigo,1
102719,102719,antistasis,n,n-s---fn3i,antistas,antistasis,0
23584,g0090,garrio,v,v1spia--4-,garr garriu garrit,garrio,1
23570,23570,fusus,a,aps---mn1-,fus fus fus,fusus,1
23585,g0092,garrulitas,n,n-s---fn3-,garrulitat,garrulitas,1
23587,g2293,gaudimonium,n,n-s---nn2-,gaudimoni,gaudimonium,1
23588,g0105,gaudium,n,n-s---nn2-,gaudi,gaudium,1
23591,g0138,geminatio,n,n-s---fn3-,gemination,geminatio,1
23592,g0140,gemino,v,v1spia--1-,gemin geminau geminat,gemino,1
23594,g0147,gemma,n,n-s---fn1-,gemm,gemma,1
23595,g0156,gemo,v,v1spia--3-,gem gemu gemit,gemo,1
23597,g0161,genealogia,n,n-s---fn1-,genealogi,genealogia,1
23538,f1155,fumo,v,v1spia--1-,fum fumau fumat,fumo,1
23577,23577,Gallicus,a,aps---mn1-,Gallic Gallic Gallic,Gallicus,1
23598,g0162,genealogus,n,n-s---mn2-,genealog,genealogus,1
23599,g0163,gener,n,n-s---mn2r,gener,gener,1
23601,g0170,generatio,n,n-s---fn3-,generation,generatio,1
23603,g0171,generator,n,n-s---mn3-,generator,generator,1
23604,g0174,genero,v,v1spia--1-,gener generau generat,genero,1
23589,23589,Gehenna,n,n-s---fn1-,Gehenn,Gehenna,1
23606,g0182,genetrix,n,n-s---fn3-,genetric,genetrix,1
23596,23596,Genaua,n,n-s---fn1-,Genau,Genaua,1
23602,23602,generatiuus,a,aps---mn1-,generatiu generatiu generatiu,generatiuus,1
23605,23605,generose,r,rp--------,generos,generose,1
23575,23575,Gallia,n,n-s---fn1-,Galli,Gallia,1
120109,120109,ozymum,n,n-s---nn2-,ozym,ozymum,0
120111,120111,pabularii,n,n-p---mn2-,pabulari,pabularii,0
23611,g0203,gens,n,n-s---fn3i,gent,gens,1
23613,g0208,gentilitas,n,n-s---fn3-,gentilitat,gentilitas,1
23651,g0380,glisco,v,v1spia--3-,glisc - -,glisco,1
23625,23625,Germania,n,n-s---fn1-,Germani,Germania,1
102722,102722,antistrophe,r,rp--------,,antistrophe,0
23617,g0214,genuinus,a,aps---mn1-,genuin genuin genuin,genuinus,1
23616,g0212,genuinus,n,n-s---mn2-,genuin,genuinus,1
23620,g0216,geographicus,a,aps---mn1-,geographic geographic geographic,geographicus,1
23621,g0221,geometria,n,n-s---fn1-,geometri,geometria,1
23622,g0224,geometricus,a,aps---mn1-,geometric geometric geometric,geometricus,1
23623,g0048,georgicus,a,aps---mn1-,georgic georgic georgic,georgicus,1
23618,g0213,genus,n,n-s---nn3-,gener,genus,1
23646,g0346,glans,n,n-s---fn3i,gland,glans,1
23627,g0233,germen,n,n-s---nn3-,germin,germen,1
23628,g0235,germinatio,n,n-s---fn3-,germination,germinatio,1
23629,g0238,gero,v,v1spia--3-,ger gess gest,gero,1
