,184167,,,
362077,46025,116536,,,
362084,46025,137380,,,
362089,46025,103430,,,
362093,46053,117174,,,
362100,46003,121040,,,
362107,46057,134635,,,
362114,46057,120273,,,
362121,46057,118347,,,
362128,46057,129722,,,
362135,46057,132618,,,
362142,46038,123945,,,
362149,46043,168356,,,
362156,45990,129243,,,
362163,45990,130508,,,
362170,46052,202855,,,
362177,46000,200395,,,
362184,46018,132853,,,
362191,46018,163427,,,
362196,46018,105304,,,
362200,46018,137172,,,
362207,46018,134393,,,
362214,46018,120254,,,
362221,46018,126135,,,
362228,46018,128542,,,
362235,46018,105230,,,
362242,46018,104838,,,
362249,46017,172311,,,
362256,46017,177228,,,
362263,46017,173318,,,
362270,46049,105383,,,
362277,46004,202563,,,
362284,46047,118396,,,
362291,46047,145124,,,
362298,46047,128068,,,
362303,46047,142260,,,
362307,46047,118312,,,
362314,46047,130182,,,
362321,46016,123859,,,
362328,46016,161578,,,
362335,46016,144785,,,
362342,45983,202405,,,
362349,45989,163725,,,
362356,45989,104993,,,
362363,45992,148677,,,
362370,45992,204329,,,
362377,45992,169099,,,
362384,45986,122424,,,
362391,46039,165366,,,
362398,46039,122353,,,
362405,46039,142816,,,
362410,46039,162769,,,
362414,46039,162754,,,
362421,46039,137654,,,
362428,46039,162712,,,
362435,46039,138106,,,
362442,46039,205679,,,
362449,46039,148834,,,
362456,46039,140634,,,
362463,46039,141126,,,
362470,46039,149311,,,
362477,46039,167212,,,
362484,46039,165666,,,
362491,46039,134936,,,
362498,46039,142603,,,
362505,46039,149251,,,
362512,46039,120061,,,
362517,46039,144626,,,
362521,46039,168174,,,
362528,46039,144607,,,
362535,46039,144599,,,
362542,46039,150733,,,
362549,46039,105662,,,
362556,46039,116406,,,
362563,46039,141999,,,
362570,46039,116899,,,
362577,46039,130203,,,
362584,46039,161936,,,
362591,46039,127621,,,
362598,46039,129662,,,
362605,46039,149103,,,
362612,46039,160356,,,
362619,46039,160332,,,
362624,46039,144458,,,
362628,46039,160831,,,
362635,46039,128566,,,
362642,46039,130080,,,
362649,46039,128019,,,
362656,46039,142859,,,
362663,45985,199997,,,
362670,45985,199573,,,
362677,46033,200293,,,
362684,46033,199604,,,
362691,46033,199945,,,
362698,46027,186988,,,
362705,46027,182495,,,
362712,46027,181837,,,
362719,46027,187315,,,
362726,46027,190110,,,
362731,46027,191371,,,
362735,46027,186627,,,
362742,46006,151923,,,
362749,46006,137183,,,
362756,46006,104022,,,
362763,46006,104901,,,
362770,46006,104640,,,
362777,46006,137521,,,
362784,46006,150938,,,
362791,46006,147982,,,
362798,46006,136201,,,
362805,46014,127961,,,
362812,46014,126402,,,
362819,46014,125356,,,
362826,46014,106869,,,
362833,46014,140635,,,
362838,46014,123193,,,
362842,46014,134936,,,
362849,46014,122645,,,
362856,46014,165637,,,
362863,46014,107742,,,
362870,46014,133824,,,
362877,46014,136870,,,
362884,46014,141972,,,
362891,46014,142972,,,
362898,46014,135767,,,
362905,46014,136766,,,
362912,46014,124954,,,
362919,46022,147071,,,
362926,46022,146090,,,
362933,45996,135993,,,
362940,45996,105510,,,
362945,45999,189668,,,
362949,45999,185552,,,
362956,45999,190504,,,
362963,45999,188164,,,
362970,45988,113379,,,
362977,45991,170952,,,
362984,46031,194288,,,
362991,46031,187435,,,
362998,46040,154201,,,
363005,46060,199543,,,
363012,45998,123514,,,
363019,45998,160833,,,
363026,46054,121136,,,
363033,46061,140670,,,
363040,46061,165656,,,
363047,46061,126087,,,
363052,46061,106744,,,
363056,46021,200342,,,
363063,46021,201836,,,
363070,46099,164607,,,
363077,46099,123841,,,
363084,46082,183661,,,
363091,46082,190413,,,
363098,46082,192824,,,
363105,46082,191015,,,
363112,46082,183964,,,
363119,46082,187918,,,
363126,46077,137849,,,
363133,46077,126951,,,
363140,46077,135750,,,
363147,46077,107674,,,
