083,transportatio,n,n-s---fn3-,transportation,,,[t̪raːn̪s.pɔr.'t̪a.t̪ɪ̣.jɔ],transportatio,0
40249,u1158,uolaemum,n,n-s---nn2-,uolaem,,,[wɔˈɫae̯.mũ],uolaemum,0
131824,u1159,uolatica,n,n-s---fn1-,uolatic,,,[wɔ.'la.t̪ɪ.ka],uolatica,0
53669,u1161,uolatio,n,n-s---fn3-,uolation,,,[wɔ.'la.t̪ɪ̣.jɔ],uolatio,0
101183,u1191,uoluptabilis,a,aps---cn3i,uoluptabil uoluptabil uoluptabil,,,[wɔ.lʊp.'t̪a.bɪ.lɪs],uoluptabilis,0
49889,u1200,uolutabundus,a,aps---mn1-,uolutabund uolutabund uolutabund,,,[wɔ.lʊ.t̪a.'bʊn̪.d̪ʊs],uolutabundus,0
46722,u1213,uomitorius,a,aps---mn1-,uomitori uomitori uomitori,,,[wɔ.mɪˈtoː.ri.ʊs],uomitorius,0
131889,u1220,uoratrina,n,n-s---fn1-,uoratrin,,,[wɔ.'ra.t̪rɪ.n̪a],uoratrina,0
131907,u1240,urbicremus,a,aps---mn1-,urbicrem urbicrem urbicrem,,,[ʊr.'bɪ.krɛ.mʊs],urbicremus,0
30977,u1269,ursa,n,n-s---fn1-,urs,,,['ʊr.sa],ursa,0
131960,u1305,usufacio,v,v1spia--3i,usufac usufec usufact,,,[ʊ.sʊ.'fa.kɪ̣.jɔ],usufacio,0
131964,u1306,usufructuarius,a,aps---mn1-,usufructuari usufructuari usufructuari,,,[ʊ.sʊf.rʊk.t̪ʊ.'ja.rɪ̣.jʊs],usufructuarius,0
27952,u1311,usurpatio,n,n-s---fn3-,usurpation,,,[uː.sʊrˈpaː.ti.oː],usurpatio,1
28222,u1382,uultuosus,a,aps---mn1-,uultuos uultuos uultuos,,,[wʊɫ.'t̪ʊ.jɔ.sʊs],uultuosus,1
40230,x0029,xystus,n,n-s---mn2-,xyst,,28945,[ˈksʏs.tʊs],xystus,0
132026,u1384,uulturinus,a,aps---mn1-,uulturin uulturin uulturin,,,[wʊɫ.'t̪ʊ.rɪ.n̪ʊs],uulturinus,0
132093,z0020,zetema,n,n-s---nn3-,zetemat,,,['zɛ.t̪ɛ.ma],zetema,0
132096,z0022,zeugites,n,n-s---mn1g,zeugit,,,['zewgɪ.t̪ɛs],zeugites,0
132097,z0023,zeugma,n,n-s---nn3-,zeugmat,,,['zewgma],zeugma,0
132098,z0024,zeunitor,n,n-s---mn3-,zeunitor,,,['zewn̪ɪ.t̪ɔr],zeunitor,0
132107,z0026,zinzilo,v,v1spia--1-,zinzil zinzilau zinzila,,,['zɪn̪.zɪ.lɔ],zinzilo,0
132108,z0027,zinzilulo,v,v1spia--1-,zinzilul zinzilulau zinzilula,,,[zɪn̪.'zɪ.lʊ.lɔ],zinzilulo,0
132109,z0028,zinzio,v,v1spia--1-,zinzi zinziau zinzia,,,['zɪn̪.zɪ̣.jɔ],zinzio,0
47082,z0059,zythum,n,n-s---nn2-,zyth,,,[ˈzyː.tʰũ],zythum,0
40795,z0030,ziziphum,n,n-s---nn2-,ziziph,,28946,['zɪz.zɪ.pʰũː],ziziphum,0
132121,m0755,zmintha,n,n-s---fn1-,zminth,,,['zmɪn̪.t̪ʰa],zmintha,0
30430,u1091,ungo,v,v1spia--3-,ung unx unct,,"28942,28943",[ˈʊŋ.ɡoː],ungo,1
132751,u1257,urinor,v,v1spid--1-,urin urinat -,,28944,[uːˈriː.nɔr],urinor,0
101481,a0235,acaustos,a,aps---mn1g,acaust acaust acaust,,,[a.'kaws.t̪ɔs],acaustos,0
48457,i1942,insanitas,n,n-s---fn3-,insanitat,,,[iːn̪.'sa.n̪ɪ.t̪as],insanitas,0
22708,d2164,domus,n,n-s---fn4-,dom,28947,28948,[ˈdɔ.mʊs],domus,1
102265,a1567,amalusta,n,n-s---fn1-,amalust,,,[a.ma.'lʊs.t̪a],amalusta,0
102274,a1581,amaritia,n,n-s---fn1-,amariti,,,[a.ma.'rɪ.t̪ɪ̣.ja],amaritia,0
102522,a1957,anesco,v,v1spia--3-,,,,[a.'n̪ɛs.kɔ],anesco,0
