id,type,source,target
287738,/,20261,20256
287739,/,20261,35702
287740,/,20261,20258
287741,/,20261,97717
287742,/,20261,20260
287743,/,20261,46574
287744,/,20261,57822
287745,/,20261,20308
287746,/,20261,103422
287747,/,20261,97731
287748,/,20261,57804
287749,/,20263,97718
287750,/,20263,103345
287751,/,20263,20264
287752,/,20263,20265
287753,/,20263,20266
287754,/,20263,103346
287755,/,20263,20267
287756,/,20263,103348
287757,/,20263,38976
287758,\,103345,20264
287759,\,20265,20264
287760,\,20266,20264
287761,\,38976,20264
287762,/,20265,97718
287763,/,20265,103345
287764,/,20265,20263
287765,/,20265,20266
287766,/,20265,103346
287767,/,20265,20267
287768,/,20265,51220
287769,/,20265,103348
300661,/,55282,25826
287771,/,20266,97718
287772,/,20266,103345
287773,/,20266,20263
287774,/,20266,20267
287775,/,20266,103348
287776,/,20266,38976
287777,/,20267,97718
287778,/,20267,103345
287779,/,20267,20263
287780,/,20267,20264
287781,/,20267,20265
287782,/,20267,20266
287783,/,20267,103346
287784,/,20267,38976
287785,\,40902,20268
287786,\,56988,20268
287787,\,20248,20270
287788,\,20250,20270
287789,\,20254,20270
287790,\,20273,20270
287791,\,20276,20270
287792,\,20319,20270
287793,/,20274,20275
287794,\,20278,20277
287795,\,37162,20279
287796,\,42610,20279
287797,\,48389,20279
287798,\,33376,20279
287799,\,36341,20279
287800,/,20282,33972
287801,/,20282,30212
287802,/,20285,39755
287803,/,20285,30334
287804,/,20285,103389
287805,/,20285,30279
287806,/,20285,46883
287807,/,20285,44999
287808,/,20285,37899
287809,/,20285,58951
287810,/,20285,29287
287811,/,20285,103392
287812,/,20285,20286
287813,/,20285,40066
287814,/,20285,28848
287815,/,20285,103395
287816,/,20285,30604
287817,/,20285,97725
287818,/,20285,20288
287819,/,20285,50977
287820,/,20285,30564
287821,/,20285,103403
287822,/,20285,33876
287823,/,20285,35713
287824,/,20285,50966
287825,/,20285,46831
287826,/,20285,20292
287827,/,20285,35329
287828,/,20285,28637
287829,/,20285,37586
287830,/,20285,36490
287831,/,20285,20294
287832,/,20285,51987
287833,/,20285,20296
287834,\,58951,20286
287835,\,103398,20287
287836,\,50977,20288
287837,/,20288,48106
287838,/,20288,30334
287839,/,20288,103389
287840,/,20288,30279
287841,/,20288,20285
287842,/,20288,46883
287843,/,20288,44999
287844,/,20288,37899
287845,/,20288,58951
287846,/,20288,29287
287847,/,20288,103392
287848,/,20288,20286
287849,/,20288,40066
287850,/,20288,28848
287851,/,20288,103395
287852,/,20288,30604
287853,/,20288,97725
287854,/,20288,40202
287855,/,20288,30564
287856,/,20288,33876
287857,/,20288,35713
287858,/,20288,50966
287859,/,20288,46831
287860,/,20288,20292
287861,/,20288,35329
287862,/,20288,28637
287863,/,20288,37586
287864,/,20288,36490
287865,/,20288,20294
287866,/,20288,51987
287867,/,20288,20296
287868,/,20289,56543
287869,\,51100,20290
287870,\,103389,20292
287871,\,44999,20292
287872,/,20294,48106
287873,/,20294,39755
287874,/,20294,103389
287875,/,20294,20285
287876,/,20294,46883
287877,/,20294,44999
287878,/,20294,37899
287879,/,20294,58951
287880,/,20294,29287
287881,/,20294,103392
287882,/,20294,20286
287883,/,20294,40066
287884,/,20294,103395
287885,/,20294,30604
287886,/,20294,97725
287887,/,20294,20288
287888,/,20294,50977
287889,/,20294,40202
287890,/,20294,30564
287891,/,20294,103403
287892,/,20294,33876
287893,/,20294,35713
287894,/,20294,50966
287895,/,20294,46831
287897,/,20294,35329
287898,/,20294,51987
287899,/,20294,20296
287900,\,30334,20296
287901,\,40066,20296
287902,\,50966,20296
287903,\,46831,20296
287904,/,20296,48106
287905,/,20296,103389
287906,/,20296,30279
287907,/,20296,20285
287908,/,20296,46883
287909,/,20296,44999
287910,/,20296,37899
287911,/,20296,58951
287912,/,20296,29287
287913,/,20296,51290
287914,/,20296,50977
287915,/,20296,28637
287916,/,20296,37586
287917,/,20296,36490
287918,/,20297,20298
287919,/,20297,34663
287920,/,20303,30261
287921,/,20303,20304
287922,/,20311,52946
287923,/,20311,41098
287924,\,56046,132274
287925,\,20316,132274
287926,\,20317,132274
287927,\,54880,20319
287928,/,20319,41254
287929,/,20319,56046
287930,/,20319,20316
287931,/,20319,28627
287932,/,20319,103439
287933,/,20319,20317
287934,/,20322,57822
287935,/,20322,20320
287936,/,20322,20321
287937,/,20322,56225
287938,/,20322,97737
287939,/,20322,103351
287940,/,20322,39011
287941,/,20322,20326
287942,/,20322,20331
287943,/,20322,20332
287944,/,20322,20333
287945,/,20322,20334
287946,/,20322,103368
287947,\,97737,20326
287948,\,103368,20326
287949,/,20332,57822
287950,/,20332,20320
287951,/,20332,20321
287952,/,20332,20322
287953,/,20332,56225
287954,/,20332,20323
287955,/,20332,97737
287956,/,20332,39011
287957,/,20332,20326
287958,/,20332,20331
287959,/,20332,20333
287960,/,20332,20334
287961,/,20332,103368
287962,/,20335,97713
287963,/,20335,51247
287964,/,20335,54679
287965,/,20335,44405
287966,/,20335,44149
287967,/,20335,103365
287968,/,20335,28792
287969,/,20335,56212
287970,\,20336,20337
287971,\,39428,20337
287972,\,38280,20337
287973,\,36004,20338
287974,\,20170,20341
287975,\,57927,20345
287976,\,103485,20356
287977,\,54945,20356
287978,/,20359,29806
287979,/,20359,20360
287980,/,20359,20361
287981,/,20359,20362
287982,/,20359,54613
287983,/,20359,20363
287984,/,20360,20361
287985,/,20360,20362
287986,/,20360,54613
287987,/,20360,20363
287988,/,20361,20359
287989,/,20361,20360
287990,/,20361,20362
287991,/,20361,54613
287992,/,20361,20363
287993,/,20362,20359
287994,/,20362,20360
287995,/,20362,20361
287996,/,20362,20363
287997,/,20362,54613
287998,\,34955,20365
287999,\,103522,20365
288000,\,20368,20365
288001,\,50897,20365
288002,/,20377,37685
288003,/,20377,20380
