s1125,semirasus,a,0,aps---mn1-,semiras semiras semiras,semirasus
42645,r0924,rursus,r,0,rp--------,r,rursus
42688,s2469,stigmosus,a,0,aps---mn1-,stigm stigm stigm,stigmosus
42691,t0257,temptabundus,a,0,aps---mn1-,temptabund temptabund temptabund,temptabundus
42644,u0112,uarico,v,0,v1spia--1-,uaric uaricau uaricat,uarico
42657,a0416,acridium,n,0,n-s---nn2-,acridi,acridium
42708,n0469,nocturnus,a,1,aps---mn1-,nocturn nocturn nocturn,nocturnus
42774,42774,ammonitrix,n,0,n-s---fn3-,ammonitric,ammonitrix
42712,p0041,paedico,v,0,v1spia--1-,paedic paedicau paedicat,paedico
42737,42737,bimembris,r,0,rp--------,bimembr bimembr bimembr,bimembris
42734,42734,cantharella,n,0,n-s---fn1-,cantharell,cantharella
42757,42757,carboarius,n,0,n-s---mn2-,carboari,carboarius
42706,42706,casses,a,0,aps---mn1-,cass cass cass,casses
42730,a1031,aestuabundus,a,0,aps---mn1-,aestuabund aestuabund aestuabund,aestuabundus
42720,42720,abiegnius,a,0,aps---mn1-,abiegni abiegni abiegni,abiegnius
42767,42767,catechumenatus,n,0,n-s---mn4-,catechumenat,catechumenatus
42775,42775,apsurde,r,0,rp--------,,apsurde
42716,42716,coactile,n,0,n-s---nn3-,coactil,coactile
42729,42729,cognoscibilitas,n,0,n-s---fn3-,cognoscibilitat,cognoscibilitas
42705,42705,cosmopoliticus,a,0,aps---mn1-,cosmopolitic cosmopolitic cosmopolitic,cosmopoliticus
42768,42768,culiculus,n,0,n-s---mn2-,culicul,culiculus
42704,42704,dicasterium,n,0,n-s---nn2-,dicasteri,dicasterium
42740,42740,ditio,n,0,n-s---fn3-,dition,ditio
42770,b0069,ballematicus,a,0,aps---mn1-,ballematic ballematic ballematic,ballematicus
42738,42738,exempoator,n,0,n-s---mn3-,exempoator,exempoator
42761,42761,facialis,a,0,aps---cn3-,facial facial facial,facialis
42714,42714,feminus,a,0,aps---mn1-,femin femin femin,feminus
42750,42750,improuiso,r,0,rp--------,aemul,improuiso
42703,42703,inferia,n,0,n-s---fn1-,inferi,inferia
42747,42747,manufestus,a,0,aps---mn1-,manufest manufest manufest,manufestus
42739,42739,persapienter,a,0,aps---mn1r,exempoator exempoator exempoator,persapienter
42735,42735,poenitet,v,0,v1spia--1-,poenit poenitu -,poenitet
42707,42707,praerodo,n,0,n-p---fn1-,praerod praeros praeros,praerodo
42701,42701,seculizo,v,0,v1spia--1-,seculiz seculizau seculizat,seculizo
42771,42771,siluicolus,a,0,aps---mn1-,siluicol siluicol siluicol,siluicolus
42709,42709,solearius,n,0,n-s---mn2-,soleari soleari soleari,solearius
42773,42773,subdio,r,0,rp--------,,subdio
42731,42731,superius,r,0,rp--------,,superius
42754,42754,tonellus,n,0,n-s---mn2-,tonell,tonellus
