,praesignis,a,aps---cn3i,praesign praesign praesign,praesignis,0
100434,r0883,rugosus,a,aps---mn1-,rugos rugos rugos,rugosus,0
100435,r0920,rurestris,a,aps---cn3i,rurestr rurestr rurestr,rurestris,0
100444,100444,sacellus,n,n-s---mn2-,sacell,sacellus,0
100447,100447,sacrilegus,n,n-s---mn2-,sacrileg,sacrilegus,0
100438,r0930,russatus,a,aps---mn1-,russat russat russat,russatus,0
100448,100448,saetiger,n,n-s---mn2r,saetiger,saetiger,0
100442,s0006,sabbatum,n,n-s---nn2-,sabbat,sabbatum,0
100445,s0043,sacerdotalis,a,aps---cn3i,sacerdotal sacerdotal sacerdotal,sacerdotalis,0
100453,100453,salictarius,n,n-s---mn2-,salictari,salictarius,0
100446,s0059,sacrificalis,a,aps---cn3i,sacrifical sacrifical sacrifical,sacrificalis,0
100458,100458,salubris,a,aps---cn3i,salubr salubr salubr,salubris,0
100461,100461,saluos,a,aps---mn1-,salu salu salu,saluos,0
100463,100463,sanctum,n,n-s---nn2-,sanct,sanctum,0
100465,100465,sanguen,n,n-s---nn3-,sanguin,sanguen,0
100449,s0099,saeuitudo,n,n-s---fn3-,saeuitudin,saeuitudo,0
100467,100467,sapiens,a,aps---an3i,sapient sapient sapient,sapiens,0
100468,100468,sapiens,n,n-s---mn3i,sapient,sapiens,0
100450,s0120,sagittarius,a,aps---mn1-,sagittari sagittari sagittari,sagittarius,0
100407,r0605,retrices,n,n-s---fn3-,retric,retrices,0
100451,s0146,salax,a,aps---an3i,salac salac salac,salax,0
100452,s0136,sale,n,n-s---nn3i,sal,sale,0
100454,s0165,salinae,n,n-p---fn1-,salin,salinae,0
100460,s0225,salueo,v,v1spia--2-,salu - -,salueo,0
100459,s0241,salutifer,a,aps---mn1r,salutifer salutifer salutifer,salutifer,0
100464,s0301,sandyx,n,n-s---fn3-,sandic,sandyx,0
100466,s0334,saperda,n,n-s---mn1-,saperd,saperda,0
40298,a3006,aruus,a,aps---mn1-,aru aru aru,aruus,0
100481,s0441,satrapes,n,n-s---mn1g,satrap,satrapes,0
100472,s0393,sarisa,n,n-s---fn1-,saris,sarisa,0
100470,100470,sarcophagus,n,n-s---mn2-,sarcophag,sarcophagus,0
100473,100473,sarisophoros,n,n-s---mn2g,sarisophor,sarisophoros,0
100502,s0751,screator,n,n-s---mn3-,screator,screator,0
100475,s0355,sartura,n,n-s---fn1-,sartur,sartura,0
100476,s0411,satagius,a,aps---mn1-,satagi satagi satagi,satagius,0
100474,100474,sarissa,n,n-s---fn1-,sariss,sarissa,0
100479,100479,satis,r,rp--------,,satis,0
100477,a9271,satago,v,v1spia--3-,satag sateg satact,satago,0
100478,s0425,satio,n,n-s---fn3-,sation,satio,0
