id,uri,lemma,pos,morpho,principal_parts,irregular_forms,alternative_forms,pronunciation,prosody,validated
46182,a9986,abusus,n,n-s---mn4-,abus,,,['a.bʊ.sʊs],abusus,0
21778,c1161,coquina,n,n-s---fn1-,coquin,,,[kɔˈkᶣiː.na],coquina,1
21780,c3986,coquino,v,v1spia--1-,coquin coquinau coquinat,,,[kɔˈkᶣiː.noː],coquino,1
21781,c3991,coquo,v,v1spia--3-,coqu cox coct,,,[ˈkɔ.kʷoː],coquo,1
21783,c3993,cor,n,n-s---nn3-,cord,,,[kɔr],cor,1
21770,21770,copiose,r,rp--------,copios,,,[kɔ.'pɪ̣.jɔ.sɛ],copiose,1
21785,c4003,corallium,n,n-s---nn2-,coralli,,,[kɔˈral.li.ũ],corallium,1
21787,c4006,corax,n,n-s---mn3-,corac,,,[ˈkɔ.raks],corax,1
21789,c4008,corbis,n,n-s---mn3i,corb,,,[ˈkɔr.bɪs],corbis,1
21790,c4012,corbula,n,n-s---fn1-,corbul,,,['kɔr.bʊ.la],corbula,1
21792,c4021,cordatus,a,aps---mn1-,cordat cordat cordat,,,[kɔrˈdaː.tʊs],cordatus,1
21775,21775,copulatus,a,aps---mn1-,copulat copulat copulat,,,[kɔ.'pʊ.la.t̪ʊs],copulatus,1
21795,c4037,corium,n,n-s---nn2-,cori,,,[ˈkɔ.ri.ũ],corium,1
21786,21786,coram,r,rp--------,,,,[ˈkoː.rã],coram,1
21796,c4042,cornicen,n,n-s---mn3-,cornicin,,,[ˈkɔr.nɪ.kẽ],cornicen,1
21738,c3879,conuenusto,v,v1spia--1-,conuenust conuenustau conuenustat,,,[kɔ.n̪ʊ.jɛ.'n̪ʊs.t̪ɔ],conuenusto,1
21788,21788,corban,n,n-s---nn--,-,,,['kɔr.ban̪],corban,1
21798,c4043,cornicularius,n,n-s---mn2-,corniculari,,,[kɔr.n̪ɪ.kʊ.'la.rɪ̣.jʊs],cornicularius,1
21799,c4051,corniger,a,aps---mn1r,corniger corniger corniger,,,[ˈkɔr.nɪ.ɡɛr],corniger,1
21791,21791,cordate,r,rp--------,cordat,,,['kɔr.d̪a.t̪ɛ],cordate,1
21800,c4054,cornix,n,n-s---fn3-,cornic,,,[ˈkɔr.niːks],cornix,1
21803,c4066,corollarium,n,n-s---nn2-,corollari,,,[kɔ.roːlˈlaː.ri.ũ],corollarium,1
21804,c4068,corona,n,n-s---fn1-,coron,,,[kɔˈroː.na],corona,1
