25,140678,,,
586172,97944,170873,,,
586179,97944,175452,,,
586186,97944,181083,,,
586193,97944,179022,,,
586200,97944,174392,,,
586207,97944,176723,,,
586214,97944,176927,,,
586221,97944,181024,,,
586228,97944,181004,,,
586235,97944,173809,,,
586242,97944,177380,,,
586249,97944,177369,,,
586254,97944,176847,,,
586258,97944,173254,,,
586265,97944,174257,,,
586272,97944,180898,,,
586279,97944,179851,,,
586286,97944,173669,,,
586293,97944,180311,,,
586300,97944,178768,,,
586307,97944,169541,,,
586314,97944,181297,,,
586321,97944,179743,,,
586328,97944,172048,,,
586335,97944,180743,,,
586342,97950,170568,,,
586349,97952,132990,,,
586356,97952,134950,,,
586361,41102,163797,,,
586365,41102,133439,,,
586372,97882,181061,,,
586379,97882,177973,,,
586386,97882,181032,,,
586393,97882,179991,,,
586400,97882,172299,,,
586407,97882,179457,,,
586414,97882,176881,,,
586421,97882,173283,,,
586428,97882,171730,,,
586435,97882,176834,,,
586442,97882,174259,,,
586449,97882,176293,,,
586456,97882,174221,,,
586463,97882,174211,,,
586468,97882,176242,,,
586472,97882,176747,,,
586479,97882,169566,,,
586486,97882,176215,,,
586493,97882,173044,,,
586500,97882,173032,,,
586507,97882,176091,,,
586514,97882,174028,,,
586521,97882,172475,,,
586528,97882,176563,,,
586535,97882,169893,,,
586542,97882,178590,,,
586549,97882,179095,,,
586556,97882,173451,,,
586563,97882,170370,,,
586570,97882,172408,,,
586575,97882,176497,,,
586579,97882,178027,,,
586586,97882,171870,,,
586593,97882,175954,,,
586600,97882,179790,,,
586607,97882,178756,,,
586614,97882,174655,,,
586621,97882,175664,,,
586628,97882,178719,,,
586635,97882,171017,,,
586642,97956,175945,,,
586649,97959,190280,,,
586656,97959,190263,,,
586663,97959,193965,,,
586670,97959,184200,,,
586677,97962,127697,,,
586682,97962,126628,,,
586686,97964,180473,,,
586693,97964,172779,,,
586700,97964,171227,,,
586707,97964,172110,,,
586714,97964,180295,,,
586721,97964,171696,,,
586728,97964,177449,,,
586735,97964,179612,,,
586742,97964,170767,,,
586749,97964,172802,,,
586756,97965,178162,,,
586763,97965,181214,,,
586770,97965,174030,,,
586777,97965,179103,,,
586784,97965,171925,,,
586789,97965,171408,,,
586793,97965,170888,,,
586800,97965,170848,,,
586807,97965,170837,,,
586814,97965,176442,,,
586821,97965,175907,,,
586828,97965,177430,,,
586835,97965,180489,,,
