,06057735,n,10,the executive agency that advises the President on protecting the environment,1820
141503,06135619,n,10,a political party in the US; formed in 1869 to oppose the manufacture and sale of alcoholic beverages,"1718,2768"
141458,06127756,n,10,a ball at which guests wear costumes and masks,2621
141459,06127915,n,10,a party of guests wearing costumes and masks,
141460,06128050,n,10,a ceremonial dinner party for many people,
141462,06128375,n,10,(British) a celebratory feast held annually at one of the colleges in a British university,
141463,06128517,n,10,(British) an annual dinner party given by an employer for the employees,
141465,06128817,n,10,a reception held in your own home,
141467,06129039,n,10,a reception wedding guests held after the wedding,
141468,06129152,n,10,an informal party of people with hospitality for all comers,
141469,06129268,n,10,a party of people assembled to celebrate moving into a new home,
141470,06129390,n,10,a party of people assembled in the evening (usually at a private house),
141471,06129532,n,10,a soiree assembled for the purpose of listening to music,
141472,06129667,n,10,a party of people assembled for social interaction out of doors,
141473,06129819,n,10,stag party held for a bachelor (usually on the night before he is married),
141475,06130164,n,10,a party for men only (or one considered suitable for men only),
141476,06130310,n,10,a party for women only,
141477,06130388,n,10,an overnight party of girls who dress in nightclothes and and pass the night talking,
141478,06130532,n,10,a party of people assembled to promote sociability and communal activity,
141480,06130826,n,10,a party of people at a wedding,
141481,06131059,n,10,(British) a party of people assembled to play progressive whist,
141486,06132429,n,10,a political party advocating communism in the US,"1718,2768"
141490,06133054,n,10,the older of two major political parties in the US,"1718,2768"
141492,06133468,n,10,a former minor political party in the US in the early 20th century,"1718,2768"
141499,06134876,n,10,a Trotskyist political organization in Great Britain set up in 1964 inside the Labour Party,"1718,2768"
141456,06127449,n,10,"a lavish formal dance: ""she was the loveliest girl at the ball""",2621
141507,06136373,n,10,a political party in the US formed in 1900 to advocate socialism,"1718,2768"
141510,06136932,n,10,a political party organized in opposition to the major parties in a two-party system,"1718,2768"
207203,L1301194,n,9,the inhabitants of Antoniopolis in Lydia,1696
